Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,180.0,1.0,180.0,180.0,0.1,130.008,0.0,0.0,0.004410505294799805,,,,,,,,,,,,,,,,,,,,,54.81597290857072,36.78934539985985,120.38176803075083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,428.0,2.0,248.0,428.0,0.1,186.106,0.0,0.0,21.573859453201294,,,,,,,,,,,,,,,,,,,,,78.29099963190019,50.849253281521094,167.02371249256157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,642.0,3.0,214.0,642.0,0.1,130.3089999999999,0.0,0.0,40.45456647872925,,,,,,,,,,,,,,,,,,,,,58.13229342289773,33.23725922694933,118.10478066404731,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,890.0,4.0,248.0,890.0,0.1,134.53199999999998,0.0,0.0,62.08664155006409,,,,,,,,,,,,,,,,,,,,,54.18289930496375,32.35642404339612,121.33719402322146,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1083.0,5.0,193.0,1083.0,0.1,123.82700000000006,0.0,0.0,79.00261855125427,,,,,,,,,,,,,,,,,,,,,49.12058650898749,36.24845608640343,114.57576375551277,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1243.0,6.0,160.0,1243.0,0.1,113.20500000000001,0.0,0.0,93.2138078212738,,,,,,,,,,,,,,,,,,,,,52.653773190378175,30.38046645169743,104.99027184295358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1449.0,7.0,206.0,1449.0,0.1,137.40599999999995,0.0,0.0,111.22510981559753,,,,,,,,,,,,,,,,,,,,,57.712543243169485,36.12460798673492,125.76862757843647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1559.0,8.0,110.0,1559.0,0.1,82.505,0.0,0.0,121.33752346038818,,,,,,,,,,,,,,,,,,,,,39.1446655179689,25.291914992080336,78.35571987705764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1590.0,9.0,31.0,1590.0,0.1,13.206999999999994,0.0,0.0,124.54271078109741,,,,,,,,,,,,,,,,,,,,,3.7824873618253547,4.4023835180346955,13.115961699220158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1665.0,10.0,75.0,1665.0,0.1,56.404999999999994,0.0,0.0,131.42771124839783,,,,,,,,,,,,,,,,,,,,,23.812539370245585,17.17665992333331,54.728461742254346,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1715.0,11.0,50.0,1715.0,0.1,30.206000000000017,0.0,0.0,136.22966027259827,,,,,,,,,,,,,,,,,,,,,10.47170935534674,9.936825619809932,29.74186852741897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1747.0,12.0,32.0,1747.0,0.1,18.605000000000015,0.0,0.0,139.66272735595703,,,,,,,,,,,,,,,,,,,,,6.390709976177217,6.4444004338985845,18.437353550509805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1799.0,13.0,52.0,1799.0,0.1,30.905000000000012,0.0,0.0,144.5285005569458,,,,,,,,,,,,,,,,,,,,,12.239842870712994,9.398171755292047,30.32915615387452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1958.0,14.0,159.0,1958.0,0.1,83.53200000000012,0.0,0.0,158.60498666763306,,,,,,,,,,,,,,,,,,,,,29.190044331573162,25.746334427200512,79.04880150548937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,2036.0,15.0,78.0,2036.0,0.1,52.60699999999999,0.0,0.0,165.71482849121094,,,,,,,,,,,,,,,,,,,,,22.46241767118632,16.878864368924862,50.956794052959324,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
